No,String,Success
1,ababab…,1
2,acbdce…,1
3,aczbya…,1
4,aazzyy…,1
5,aazcyex…,0.2
6,aaabbbc…,1
7,azbdcegf…,0.2
8,adgj…,0.2
9,cabdbccecd…,0.2
10,aaaabbbbc…,0.2
11,aacyawy…,0.2
12,abdeg…,0.2
13,aabbzabb…,0
14,zayxxuw…,0.2
15,zaxava…,0.2
16,abazaayza…,0.2
17,aaazbby…,0.2
18,aadazca…,0.2
19,azbzzyby…,0.2
20,bazbayba…,0.2
21,hgf_dcba,1
22,a_bbccd,1
23,a_azaya,0.2
24,aa_yyawwy,0.2
25,_bzayzxy,1
26,aa_zzayyz,0
27,ax_vwtu,0.2
28,ayw_wuwus,0.2
29,abcf_hk,0.2
30,acb_dceeedf,0.2
31,ad_zcbyba,1
32,ab_bcacdb,0.2
33,aa_cyex,0.2
34,_abbyzabxyzabwxyz,0.2
35,zz_zyyxyx,0.2
